Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,5.32,6.05,5.32,6.05,49400,6.05
2016-03-10,4.85,5.27,4.76,5.12,27900,5.12
2016-03-09,4.78,5.00,4.67,4.73,21500,4.73
2016-03-08,4.89,4.89,4.55,4.78,24400,4.78
2016-03-07,4.54,4.70,4.44,4.57,17300,4.57
2016-03-04,4.64,4.64,4.45,4.50,16600,4.50
2016-03-03,4.48,4.88,4.48,4.62,19900,4.62
2016-03-02,4.40,4.83,4.37,4.48,16200,4.48
2016-03-01,3.85,4.45,3.58,4.39,34900,4.39
2016-02-29,3.27,3.85,3.266,3.84,19900,3.84
2016-02-26,3.31,3.414,3.16,3.35,7700,3.35
2016-02-25,3.20,3.45,3.20,3.35,15200,3.35
2016-02-24,3.26,3.39,3.26,3.34,8700,3.34
2016-02-23,3.02,3.40,2.95,3.35,19400,3.35
2016-02-22,3.39,3.49,3.32,3.32,2600,3.32
2016-02-19,3.70,3.81,3.40,3.40,17000,3.40
2016-02-18,3.65,3.87,3.625,3.70,14500,3.70
2016-02-17,3.02,3.60,3.00,3.56,39500,3.56
2016-02-16,3.19,3.19,2.85,3.06,19500,3.06
2016-02-12,3.07,3.10,3.00,3.08,6700,3.08
2016-02-11,2.95,3.10,2.944,3.085,7900,3.085
2016-02-10,3.14,3.37,2.959,3.09,5600,3.09
2016-02-09,3.16,3.30,3.01,3.03,9200,3.03
2016-02-08,3.20,3.32,3.14,3.18,5200,3.18
2016-02-05,3.45,3.49,3.24,3.32,18000,3.32
2016-02-04,3.59,3.59,3.40,3.55,21700,3.55
2016-02-03,3.99,3.99,3.55,3.60,22600,3.60
2016-02-02,3.86,4.213,3.844,3.86,52600,3.86
2016-02-01,4.00,4.00,3.57,3.96,62400,3.96
2016-01-29,2.70,4.19,2.70,4.15,81500,4.15
2016-01-28,2.70,2.76,2.64,2.699,26300,2.699
2016-01-27,2.65,2.75,2.58,2.62,10000,2.62
2016-01-26,2.45,2.70,2.45,2.66,15600,2.66
2016-01-25,2.81,2.90,2.60,2.68,13900,2.68
2016-01-22,2.75,2.90,2.70,2.88,27400,2.88
2016-01-21,2.80,2.90,2.56,2.76,54800,2.76
2016-01-20,3.00,3.13,2.79,2.94,46800,2.94
2016-01-19,3.51,3.81,3.07,3.13,31400,3.13
2016-01-15,3.64,3.80,3.18,3.51,17600,3.51
2016-01-14,3.20,4.00,2.59,3.95,92900,3.95
2016-01-13,4.11,4.11,3.67,3.69,38200,3.69
2016-01-12,4.90,5.61,3.73,4.11,53100,4.11
2016-01-11,6.23,6.23,4.233,4.97,93000,4.97
2016-01-08,8.40,8.40,6.98,6.99,28600,6.99
2016-01-07,9.00,9.00,7.25,7.25,68900,7.25
2016-01-06,10.00,10.00,8.50,8.93,31500,8.93
2016-01-05,8.90,10.24,8.60,10.11,48500,10.11
2016-01-04,5.75,9.70,5.457,9.00,28200,9.00
